Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean
0.165448,0.138808,0.1323,0.110374,0.275398,0.093115
0.431204,0.516148,0.559005,0.565074,0.515079,0.175921
0.131924,0.105814,0.093603,0.07451,0.226844,0.095966
0.140961,0.111271,0.09696,0.078151,0.213535,0.098955
0.13853,0.108676,0.08952,0.065839,0.186892,0.061183
0.154947,0.125177,0.108565,0.090994,0.223952,0.106643
0.138772,0.108384,0.101957,0.067598,0.315769,0.079981
0.162695,0.133249,0.114081,0.092933,0.226373,0.099176
0.153748,0.121413,0.103857,0.084354,0.203591,0.095084
0.143797,0.114061,0.09538,0.073202,0.20119,0.07342
0.158046,0.131046,0.125247,0.102228,0.264503,0.082725
0.155579,0.124208,0.106005,0.084337,0.228109,0.089204
0.19095,0.161114,0.139212,0.119622,0.232433,0.115621
0.162347,0.131847,0.11164,0.089695,0.210096,0.094577
0.138074,0.108266,0.092079,0.069188,0.198895,0.075882
0.147999,0.150831,0.145235,0.126899,0.194152,0.225714
0.190012,0.165883,0.159456,0.142794,0.277066,0.109731
0.142813,0.113524,0.098863,0.08132,0.211887,0.106256
0.125613,0.098337,0.086297,0.065545,0.22984,0.083424
0.155526,0.128345,0.120631,0.095463,0.285085,0.088515
0.135832,0.107335,0.09386,0.073252,0.226681,0.08982
0.185198,0.203405,0.207882,0.208746,0.235292,0.263544
0.137064,0.10844,0.095684,0.078952,0.210518,0.105672
0.144782,0.120325,0.117978,0.106984,0.274968,0.195629
0.226065,0.194709,0.165116,0.134624,0.248929,0.093433
0.212429,0.188514,0.178222,0.161745,0.307905,0.108263
0.155986,0.125155,0.1049,0.082827,0.202846,0.082236
0.154373,0.126622,0.120849,0.096515,0.309507,0.136771
0.154033,0.121084,0.102168,0.080267,0.202284,0.084623
0.337269,0.392434,0.413304,0.407404,0.390737,0.173095
0.135716,0.107739,0.103739,0.075484,0.305591,0.135297
0.09768,0.105012,0.108265,0.103513,0.171092,0.130591
0.141482,0.112978,0.10602,0.085691,0.266329,0.11663
0.147762,0.117987,0.102297,0.085698,0.202381,0.113691
0.16131,0.129674,0.107737,0.083787,0.198154,0.074549
0.152567,0.121797,0.101204,0.076938,0.19513,0.066951
0.373873,0.446234,0.484575,0.494039,0.472758,0.131801
0.198642,0.165679,0.138192,0.110335,0.223633,0.08474
0.14013,0.11005,0.093676,0.071482,0.204169,0.08242
0.134898,0.105382,0.098629,0.06621,0.295455,0.074693
0.095827,0.101897,0.106101,0.114042,0.150617,0.191927
0.369251,0.433545,0.458371,0.453726,0.417857,0.157861
0.133314,0.106286,0.092809,0.072556,0.230083,0.087636
