Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean
0.219755,0.232626,0.228252,0.216856,0.269071,0.181319
0.139729,0.123102,0.11744,0.125657,0.206552,0.179307
0.162644,0.141417,0.124962,0.125478,0.169946,0.161472
0.144854,0.12268,0.104084,0.093155,0.175211,0.106653
0.152521,0.167254,0.166711,0.151427,0.213748,0.127415
0.129429,0.112249,0.107322,0.112816,0.218055,0.160879
0.084301,0.093754,0.100384,0.097607,0.16895,0.184981
0.185092,0.202679,0.104073,0.198937,0.263836,0.104073
0.19934,0.164109,0.134631,0.109433,0.214206,0.088237
0.177544,0.196571,0.199732,0.180556,0.254179,0.043435
0.033777,0.042393,0.066941,0.045332,0.262261,0.066941
0.006318,0.01652,0.027935,0.025901,0.153269,0.057954
0.126994,0.109686,0.103132,0.106594,0.189229,0.147348
0.173387,0.138301,0.112175,0.084107,0.213506,0.066739
0.212171,0.182276,0.152008,0.125888,0.173176,0.098974
0.18418,0.150891,0.126257,0.106801,0.199551,0.108498
0.291538,0.267212,0.228951,0.197855,0.206264,0.105792
0.072995,0.080426,0.137131,0.087573,0.223505,0.137131
0.023206,0.038538,0.108075,0.063141,0.269053,0.108075
0.203789,0.17107,0.140096,0.109726,0.207626,0.065012
0.006342,0.013303,0.025036,0.019938,0.184123,0.046432
0.12203,0.138013,0.201812,0.15245,0.25318,0.201812
0.146467,0.127584,0.110663,0.103363,0.171357,0.101219
0.253364,0.273524,0.271337,0.257235,0.257775,0.187094
0.035769,0.042739,0.089115,0.054415,0.226345,0.089115
0.010796,0.018755,0.029499,0.02323,0.163284,0.047219
0.029887,0.034463,0.041634,0.029665,0.204414,0.03543
0.060215,0.077678,0.172706,0.116629,0.258082,0.172706
0.065098,0.073747,0.077046,0.067082,0.159704,0.084103
0.163046,0.141815,0.121761,0.114273,0.143357,0.140087
0.140019,0.12617,0.124287,0.139858,0.228868,0.200935
0.191275,0.210398,0.125386,0.207397,0.258507,0.125386
0.168232,0.169497,0.155399,0.127673,0.164651,0.092389
0.269102,0.242586,0.207907,0.184451,0.184594,0.154055
0.204519,0.171408,0.142341,0.127959,0.167346,0.15108
