Filepath,Width,Height,BandCount,Band1_Min,Band1_Max,Band1_Mean,Band1_StdDev,Band1_BlockMean,Band1_BandSumVariance,Band2_Min,Band2_Max,Band2_Mean,Band2_StdDev,Band2_BlockMean,Band2_BandSumVariance,Band3_Min,Band3_Max,Band3_Mean,Band3_StdDev,Band3_BlockMean,Band3_BandSumVariance,Band4_Min,Band4_Max,Band4_Mean,Band4_StdDev,Band4_BlockMean,Band4_BandSumVariance,Band5_Min,Band5_Max,Band5_Mean,Band5_StdDev,Band5_BlockMean,Band5_BandSumVariance,Band6_Min,Band6_Max,Band6_Mean,Band6_StdDev,Band6_BlockMean,Band6_BandSumVariance
./sentinel/dataset/chop_fire/tile_0_1_2.tif,512,512,6,0.096100,0.213400,0.126994,0.014676,0.126994,25.732317,0.070800,0.279000,0.109686,0.019333,0.109686,36.543605,0.049800,0.295900,0.103132,0.022857,0.103132,49.661852,0.032500,0.351800,0.106594,0.037043,0.106594,129.018567,0.036800,0.484300,0.189229,0.038278,0.189229,96.724091,0.021900,0.337600,0.147348,0.057191,0.147348,359.943019
./sentinel/dataset/chop_fire/tile_0_1_4.tif,512,512,6,0.000000,0.099300,0.023206,0.016182,0.023206,6.253759,0.000100,0.370600,0.038538,0.023324,0.038538,17.726839,0.003800,0.433000,0.108075,0.069847,0.108075,291.983138,0.000100,0.380100,0.063141,0.047673,0.063141,111.521865,0.008100,0.806000,0.269053,0.052030,0.269053,14.423780,0.003800,0.433000,0.108075,0.069847,0.108075,291.983138
./sentinel/dataset/chop_fire/tile_3_1_1.tif,512,512,6,0.129400,0.313800,0.203789,0.038419,0.203789,279.988690,0.095600,0.393000,0.171070,0.039926,0.171070,287.343684,0.069000,0.381600,0.140096,0.035247,0.140096,211.851990,0.043500,0.442800,0.109726,0.032874,0.109726,159.775227,0.042700,0.424400,0.207626,0.034659,0.207626,36.311132,0.014200,0.244700,0.065012,0.032640,0.065012,27.397936
./sentinel/dataset/chop_fire/tile_2_1_4.tif,512,512,6,0.019800,0.499100,0.122030,0.095361,0.122030,2074.143423,0.016500,0.876300,0.138013,0.101161,0.138013,2321.154659,0.008000,1.511000,0.201812,0.192319,0.201812,1292.319162,0.018700,1.214400,0.152450,0.086278,0.152450,1490.039121,0.027100,1.128200,0.253180,0.070711,0.253180,179.433437,0.008000,1.511000,0.201812,0.192319,0.201812,1292.319162
./sentinel/dataset/chop_fire/tile_0_1_1.tif,512,512,6,0.139500,0.195000,0.173387,0.011239,0.173387,11.573026,0.105600,0.305300,0.138301,0.011039,0.138301,9.576615,0.083300,0.307100,0.112175,0.010410,0.112175,5.148830,0.056900,0.322400,0.084107,0.012752,0.084107,5.806725,0.075600,0.385600,0.213506,0.038799,0.213506,27.206457,0.017000,0.283500,0.066739,0.033777,0.066739,18.381171
./sentinel/dataset/chop_fire/tile_3_0_1.tif,512,512,6,0.223000,0.337100,0.291538,0.019667,0.291538,30.889689,0.186400,0.330500,0.267212,0.024099,0.267212,44.909179,0.149300,0.299600,0.228951,0.024908,0.228951,47.175393,0.113400,0.276500,0.197855,0.027260,0.197855,66.250725,0.150800,0.265800,0.206264,0.013524,0.206264,8.636754,0.024300,0.310500,0.105792,0.045672,0.105792,294.421033
./sentinel/dataset/chop_fire/tile_2_1_2.tif,512,512,6,0.096100,0.274900,0.163046,0.039243,0.163046,58.111267,0.066300,0.270000,0.141815,0.041473,0.141815,53.371052,0.051100,0.246200,0.121761,0.036955,0.121761,29.994462,0.029800,0.254500,0.114273,0.035060,0.114273,19.931714,0.049900,0.300100,0.143357,0.035708,0.143357,59.392840,0.026500,1.444800,0.140087,0.054559,0.140087,62.162045
./sentinel/dataset/chop_fire/tile_2_1_3.tif,512,512,6,0.001900,0.344700,0.168232,0.098125,0.168232,495.335279,0.003600,0.377200,0.169497,0.097197,0.169497,477.635156,0.005800,0.341600,0.155399,0.085237,0.155399,372.330638,0.006600,0.290800,0.127673,0.072666,0.127673,267.195592,0.007700,0.424300,0.164651,0.052775,0.164651,232.961634,0.000000,1.702700,0.092389,0.151855,0.092389,360.132776
./sentinel/dataset/chop_fire/tile_0_0_1.tif,512,512,6,0.176300,0.218200,0.199340,0.010248,0.199340,25.343703,0.136900,0.238100,0.164109,0.011395,0.164109,29.137596,0.105800,0.225900,0.134631,0.011840,0.134631,26.636930,0.076000,0.246500,0.109433,0.019319,0.109433,45.728680,0.104700,0.393000,0.214206,0.031276,0.214206,26.723633,0.020800,0.280400,0.088237,0.048165,0.088237,108.137386
./sentinel/dataset/chop_fire/tile_0_0_4.tif,512,512,6,0.000000,0.320500,0.033777,0.032874,0.033777,49.755640,0.005100,0.489900,0.042393,0.032036,0.042393,32.072666,0.008300,0.494400,0.066941,0.047311,0.066941,101.783221,0.003000,0.542800,0.045332,0.032960,0.045332,12.325402,0.016600,0.699800,0.262261,0.062955,0.262261,50.394015,0.008300,0.494400,0.066941,0.047311,0.066941,101.783221
